I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
WARNING:tensorflow:<tensorflow.python.ops.rnn_cell.BasicLSTMCell object at 0x7f596f831cd0>: Using a concatenated state is slower and will soon be deprecated.  Use state_is_tuple=True.
WARNING:tensorflow:<tensorflow.python.ops.rnn_cell.BasicLSTMCell object at 0x7f5966361f50>: Using a concatenated state is slower and will soon be deprecated.  Use state_is_tuple=True.
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: TITAN X (Pascal)
major: 6 minor: 1 memoryClockRate (GHz) 1.531
pciBusID 0000:82:00.0
Total memory: 11.90GiB
Free memory: 11.76GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: TITAN X (Pascal), pci bus id: 0000:82:00.0)
(1, 15, 20, 832)
(1, 15, 20, 2496)
(1, 15, 20, 832)
(1, 15, 20, 2496)
Step: 5600, lr: 0.001000, Train Loss: 0.22, Softmax Test Accuracy: 94.3%, Time/image (ms): 146.8
Step: 5650, lr: 0.001000, Train Loss: 0.40, Softmax Test Accuracy: 86.7%, Time/image (ms): 146.5
Step: 5700, lr: 0.001000, Train Loss: 0.29, Softmax Test Accuracy: 85.7%, Time/image (ms): 148.1
Step: 5750, lr: 0.001000, Train Loss: 0.39, Softmax Test Accuracy: 94.0%, Time/image (ms): 145.7
Step: 5800, lr: 0.001000, Train Loss: 0.26, Softmax Test Accuracy: 95.7%, Time/image (ms): 143.7
Step: 5850, lr: 0.001000, Train Loss: 0.23, Softmax Test Accuracy: 96.7%, Time/image (ms): 142.5
Step: 5900, lr: 0.001000, Train Loss: 0.22, Softmax Test Accuracy: 95.0%, Time/image (ms): 144.2
Step: 5950, lr: 0.001000, Train Loss: 0.34, Softmax Test Accuracy: 94.7%, Time/image (ms): 149.4
Step: 6000, lr: 0.001000, Train Loss: 0.29, Softmax Test Accuracy: 96.7%, Time/image (ms): 155.2
Step: 6050, lr: 0.001000, Train Loss: 0.21, Softmax Test Accuracy: 96.3%, Time/image (ms): 157.0
Step: 6100, lr: 0.001000, Train Loss: 0.37, Softmax Test Accuracy: 94.0%, Time/image (ms): 147.7
Step: 6150, lr: 0.001000, Train Loss: 0.39, Softmax Test Accuracy: 88.7%, Time/image (ms): 141.8
Step: 6200, lr: 0.001000, Train Loss: 0.19, Softmax Test Accuracy: 93.0%, Time/image (ms): 146.4
Step: 6250, lr: 0.001000, Train Loss: 0.66, Softmax Test Accuracy: 94.0%, Time/image (ms): 149.8
Step: 6300, lr: 0.001000, Train Loss: 0.30, Softmax Test Accuracy: 94.7%, Time/image (ms): 148.1
Step: 6350, lr: 0.001000, Train Loss: 0.35, Softmax Test Accuracy: 97.0%, Time/image (ms): 145.0
Step: 6400, lr: 0.001000, Train Loss: 0.41, Softmax Test Accuracy: 96.3%, Time/image (ms): 146.1
Step: 6450, lr: 0.001000, Train Loss: 0.41, Softmax Test Accuracy: 93.0%, Time/image (ms): 146.9
Step: 6500, lr: 0.001000, Train Loss: 0.26, Softmax Test Accuracy: 94.0%, Time/image (ms): 147.3
Step: 6550, lr: 0.001000, Train Loss: 0.32, Softmax Test Accuracy: 96.7%, Time/image (ms): 147.0
Step: 6600, lr: 0.001000, Train Loss: 0.40, Softmax Test Accuracy: 92.0%, Time/image (ms): 144.2
Step: 6650, lr: 0.001000, Train Loss: 0.36, Softmax Test Accuracy: 90.7%, Time/image (ms): 144.1
Step: 6700, lr: 0.001000, Train Loss: 0.28, Softmax Test Accuracy: 97.0%, Time/image (ms): 146.4
Step: 6750, lr: 0.001000, Train Loss: 0.43, Softmax Test Accuracy: 93.7%, Time/image (ms): 149.2
Step: 6800, lr: 0.001000, Train Loss: 0.19, Softmax Test Accuracy: 86.3%, Time/image (ms): 143.9
Step: 6850, lr: 0.001000, Train Loss: 0.25, Softmax Test Accuracy: 96.7%, Time/image (ms): 148.1
Step: 6900, lr: 0.001000, Train Loss: 0.57, Softmax Test Accuracy: 95.3%, Time/image (ms): 146.4
Step: 6950, lr: 0.001000, Train Loss: 0.37, Softmax Test Accuracy: 98.0%, Time/image (ms): 146.4
Step: 7000, lr: 0.001000, Train Loss: 0.35, Softmax Test Accuracy: 96.7%, Time/image (ms): 144.7
Step: 7050, lr: 0.001000, Train Loss: 0.34, Softmax Test Accuracy: 90.3%, Time/image (ms): 142.9
